table,sheet,column,xlsx_non_empty,xlsx_total,xlsx_fill_percent,db_non_null_on_matched_ids,db_matched_total,db_fill_percent_on_matched_ids
championships,Championships,name,7,7,100.0,7,7,100.0
championships,Championships,name_kz,7,7,100.0,7,7,100.0
championships,Championships,name_en,6,7,85.7,6,7,85.7
championships,Championships,short_name,7,7,100.0,7,7,100.0
championships,Championships,short_name_kz,7,7,100.0,7,7,100.0
championships,Championships,short_name_en,6,7,85.7,6,7,85.7
seasons,Seasons,name,7,7,100.0,7,7,100.0
seasons,Seasons,name_kz,7,7,100.0,7,7,100.0
seasons,Seasons,name_en,7,7,100.0,7,7,100.0
seasons,Seasons,sponsor_name,5,7,71.4,5,7,71.4
seasons,Seasons,sponsor_name_kz,5,7,71.4,5,7,71.4
stages,Stages,name,113,113,100.0,113,113,100.0
stages,Stages,name_kz,113,113,100.0,113,113,100.0
stages,Stages,name_en,7,113,6.2,7,113,6.2
teams,Teams,name,119,119,100.0,119,119,100.0
teams,Teams,name_kz,119,119,100.0,119,119,100.0
teams,Teams,name_en,115,119,96.6,115,119,96.6
teams,Teams,city,0,119,0.0,0,119,0.0
teams,Teams,city_kz,0,119,0.0,0,119,0.0
teams,Teams,city_en,0,119,0.0,0,119,0.0
clubs,Clubs,name,54,54,100.0,54,54,100.0
clubs,Clubs,name_kz,54,54,100.0,54,54,100.0
clubs,Clubs,name_en,20,54,37.0,20,54,37.0
players,Players,first_name,2256,2259,99.9,2256,2259,99.9
players,Players,first_name_kz,2027,2259,89.7,2027,2259,89.7
players,Players,first_name_en,1945,2259,86.1,1945,2259,86.1
players,Players,last_name,2259,2259,100.0,2259,2259,100.0
players,Players,last_name_kz,2027,2259,89.7,2027,2259,89.7
players,Players,last_name_en,1945,2259,86.1,1945,2259,86.1
players,Players,top_role,1568,2259,69.4,1568,2259,69.4
players,Players,top_role_kz,0,2259,0.0,0,2259,0.0
players,Players,top_role_en,1568,2259,69.4,1568,2259,69.4
coaches,Coaches,first_name,234,234,100.0,234,234,100.0
coaches,Coaches,first_name_kz,5,234,2.1,5,234,2.1
coaches,Coaches,first_name_ru,0,234,0.0,0,234,0.0
coaches,Coaches,first_name_en,5,234,2.1,5,234,2.1
coaches,Coaches,last_name,234,234,100.0,234,234,100.0
coaches,Coaches,last_name_kz,5,234,2.1,5,234,2.1
coaches,Coaches,last_name_ru,0,234,0.0,0,234,0.0
coaches,Coaches,last_name_en,5,234,2.1,5,234,2.1
referees,Referees,first_name,264,264,100.0,264,264,100.0
referees,Referees,first_name_kz,0,264,0.0,0,264,0.0
referees,Referees,first_name_ru,0,264,0.0,0,264,0.0
referees,Referees,first_name_en,0,264,0.0,0,264,0.0
referees,Referees,last_name,264,264,100.0,264,264,100.0
referees,Referees,last_name_kz,0,264,0.0,0,264,0.0
referees,Referees,last_name_ru,0,264,0.0,0,264,0.0
referees,Referees,last_name_en,0,264,0.0,0,264,0.0
stadiums,Stadiums,name,110,110,100.0,110,110,100.0
stadiums,Stadiums,name_kz,76,110,69.1,76,110,69.1
stadiums,Stadiums,name_ru,73,110,66.4,73,110,66.4
stadiums,Stadiums,name_en,54,110,49.1,54,110,49.1
stadiums,Stadiums,city,31,110,28.2,31,110,28.2
stadiums,Stadiums,city_kz,0,110,0.0,0,110,0.0
stadiums,Stadiums,city_ru,0,110,0.0,0,110,0.0
stadiums,Stadiums,city_en,0,110,0.0,0,110,0.0
stadiums,Stadiums,address,38,110,34.5,38,110,34.5
stadiums,Stadiums,address_kz,37,110,33.6,37,110,33.6
stadiums,Stadiums,address_en,36,110,32.7,36,110,32.7
countries,Countries,name,249,249,100.0,249,249,100.0
countries,Countries,name_kz,249,249,100.0,249,249,100.0
countries,Countries,name_en,249,249,100.0,249,249,100.0
cities,Cities,name,100,100,100.0,100,100,100.0
cities,Cities,name_kz,100,100,100.0,100,100,100.0
cities,Cities,name_en,100,100,100.0,100,100,100.0
